시도명,계,남자,여자,0대남자,0대여자,10대남자,10대여자,20대남자,20대여자,30대남자,30대여자,40대남자,40대여자,50대남자,50대여자,60대남자,60대여자,70세이상남자,70세이상여자
강원특별자치도,7890,3969,3920,239,225,31,30,34,33,35,33,33,31,33,31,35,33,268,500
경기도,23822,11985,11836,890,851,117,112,125,119,124,119,117,112,115,109,122,117,901,1681
경상남도,10506,5290,5216,354,332,51,48,55,52,56,53,52,49,52,48,54,51,388,722
경상북도,7641,3859,3782,234,220,33,31,35,32,35,32,32,30,33,30,34,32,253,471
광주광역시,14670,7244,7425,531,506,75,70,80,74,80,75,77,73,76,72,81,75,611,1140
대구광역시,15643,7688,7954,510,484,69,66,75,72,75,70,70,66,70,65,75,69,565,1056
대전광역시,17617,8786,8830,610,575,82,79,87,80,88,83,83,78,83,77,90,84,685,1280
부산광역시,16101,7851,8249,489,464,66,63,70,66,69,67,65,60,63,60,66,63,500,935
서울특별시,22083,10686,11396,622,591,82,78,88,83,88,83,85,80,84,80,91,86,715,1338
세종특별자치시,16080,8010,8070,931,900,120,117,124,118,123,116,114,109,110,108,107,114,712,1323
울산광역시,19717,10130,9586,733,694,101,97,108,100,108,100,102,92,100,92,105,99,740,1374
인천광역시,18791,9400,9391,651,620,85,82,91,86,94,88,87,82,85,81,89,86,668,1245
전라남도,5595,2819,2775,168,160,24,23,25,25,26,25,25,23,24,23,26,24,192,358
전라북도,7237,3602,3635,212,207,32,30,34,33,35,34,34,32,34,31,36,34,271,506
제주특별자치도,15728,7872,7855,620,587,85,82,91,87,91,85,87,79,81,78,84,79,621,1155
충청남도,10131,5189,4941,348,332,48,46,51,49,52,48,50,46,49,45,51,48,370,689
충청북도,10420,5299,5120,346,329,46,45,50,47,50,48,48,45,48,43,51,46,370,690
